Using downloaded and verified file: data/train_32x32.mat
Using downloaded and verified file: data/test_32x32.mat
INFO:__main__:Epoch 1, G Loss:29.78, D Loss:-10.53, G WD:14.19, gp:3.66, Time: 12.59.
INFO:__main__:Epoch 2, G Loss:54.41, D Loss:-3.01, G WD:3.53, gp:0.52, Time: 12.49.
INFO:__main__:Epoch 3, G Loss:71.38, D Loss:-3.23, G WD:3.86, gp:0.63, Time: 12.45.
INFO:__main__:Epoch 4, G Loss:83.69, D Loss:-2.28, G WD:2.68, gp:0.40, Time: 12.59.
INFO:__main__:Epoch 5, G Loss:52.85, D Loss:-1.60, G WD:1.92, gp:0.32, Time: 12.69.
INFO:__main__:Epoch 6, G Loss:21.09, D Loss:-1.67, G WD:1.98, gp:0.31, Time: 20.49.
INFO:__main__:Epoch 7, G Loss:12.98, D Loss:-1.54, G WD:1.87, gp:0.32, Time: 20.76.
INFO:__main__:Epoch 8, G Loss:11.30, D Loss:-1.65, G WD:1.97, gp:0.33, Time: 20.77.
INFO:__main__:Epoch 9, G Loss:5.42, D Loss:-1.75, G WD:2.13, gp:0.38, Time: 13.09.
INFO:__main__:Epoch 10, G Loss:-6.87, D Loss:-1.96, G WD:2.38, gp:0.41, Time: 20.30.
INFO:__main__:Epoch 11, G Loss:-10.17, D Loss:-2.10, G WD:2.58, gp:0.48, Time: 22.82.
INFO:__main__:Epoch 12, G Loss:-13.57, D Loss:-2.32, G WD:2.83, gp:0.51, Time: 22.93.
INFO:__main__:Epoch 13, G Loss:-14.75, D Loss:-2.45, G WD:2.97, gp:0.52, Time: 23.01.
INFO:__main__:Epoch 14, G Loss:-13.57, D Loss:-2.54, G WD:3.09, gp:0.56, Time: 23.22.
INFO:__main__:Epoch 15, G Loss:-13.39, D Loss:-2.68, G WD:3.29, gp:0.62, Time: 23.27.
INFO:__main__:Epoch 16, G Loss:-14.27, D Loss:-2.86, G WD:3.49, gp:0.63, Time: 23.28.
INFO:__main__:Epoch 17, G Loss:-13.23, D Loss:-3.00, G WD:3.64, gp:0.64, Time: 23.23.
INFO:__main__:Epoch 18, G Loss:-12.69, D Loss:-3.09, G WD:3.78, gp:0.69, Time: 23.21.
INFO:__main__:Epoch 19, G Loss:-13.01, D Loss:-3.18, G WD:3.88, gp:0.70, Time: 23.04.
INFO:__main__:Epoch 20, G Loss:-13.11, D Loss:-3.26, G WD:3.99, gp:0.73, Time: 23.17.
INFO:__main__:Epoch 21, G Loss:-13.80, D Loss:-3.30, G WD:4.01, gp:0.71, Time: 23.26.
INFO:__main__:Epoch 22, G Loss:-14.18, D Loss:-3.38, G WD:4.08, gp:0.71, Time: 23.44.
INFO:__main__:Epoch 23, G Loss:-13.13, D Loss:-3.45, G WD:4.18, gp:0.74, Time: 23.07.
INFO:__main__:Epoch 24, G Loss:-12.51, D Loss:-3.47, G WD:4.22, gp:0.75, Time: 23.46.
INFO:__main__:Epoch 25, G Loss:-11.19, D Loss:-3.48, G WD:4.21, gp:0.73, Time: 23.07.
INFO:__main__:Epoch 26, G Loss:-10.74, D Loss:-3.52, G WD:4.26, gp:0.74, Time: 23.09.
INFO:__main__:Epoch 27, G Loss:-9.71, D Loss:-3.49, G WD:4.21, gp:0.72, Time: 23.10.
INFO:__main__:Epoch 28, G Loss:-10.49, D Loss:-3.51, G WD:4.27, gp:0.76, Time: 23.02.
INFO:__main__:Epoch 29, G Loss:-9.28, D Loss:-3.48, G WD:4.20, gp:0.73, Time: 23.43.
INFO:__main__:Epoch 30, G Loss:-9.05, D Loss:-3.42, G WD:4.12, gp:0.70, Time: 23.17.
INFO:__main__:Epoch 31, G Loss:-8.36, D Loss:-3.36, G WD:4.07, gp:0.71, Time: 23.26.
INFO:__main__:Epoch 32, G Loss:-6.64, D Loss:-3.33, G WD:4.03, gp:0.70, Time: 23.19.
INFO:__main__:Epoch 33, G Loss:-6.22, D Loss:-3.27, G WD:3.96, gp:0.69, Time: 23.18.
INFO:__main__:Epoch 34, G Loss:-5.68, D Loss:-3.21, G WD:3.86, gp:0.65, Time: 23.30.
INFO:__main__:Epoch 35, G Loss:-5.51, D Loss:-3.14, G WD:3.80, gp:0.67, Time: 23.45.
INFO:__main__:Epoch 36, G Loss:-5.09, D Loss:-3.10, G WD:3.73, gp:0.63, Time: 23.33.
INFO:__main__:Epoch 37, G Loss:-5.19, D Loss:-3.07, G WD:3.68, gp:0.61, Time: 23.08.
INFO:__main__:Epoch 38, G Loss:-5.60, D Loss:-3.08, G WD:3.71, gp:0.63, Time: 23.60.
INFO:__main__:Epoch 39, G Loss:-6.24, D Loss:-3.08, G WD:3.72, gp:0.63, Time: 23.38.
INFO:__main__:Epoch 40, G Loss:-6.09, D Loss:-3.08, G WD:3.71, gp:0.62, Time: 23.39.
